1, กระบี่, โรงเรียนอนุบาลกระบี่ ถนนท่าเรือ อำเภอเมืองกระบี่
2, กระบี่, โรงเรียนอ่าวลึกประชาสรรค์ อำเภออ่าวลึก
3, กระบี่, หอประชุมโรงเรียนคลองท่อมราษฎร์รังสรรค์ อำเภอคลองท่อม
1, กรุงเทพ, บริเวณลานจอดรถสำนักงานเขตพระนคร
1, กรุงเทพ, บริเวณสำนักงานเขตป้อมปราบศัตรูพ่าย
1, กรุงเทพ, บริเวณสำนักงานเขตสัมพันธวงศ์
1, กรุงเทพ, บริเวณภายในวชิราวุธวิทยาลัย
1, กรุงเทพ, บริเวณสโมสรสมาคมใหหนำแห่งประเทศไทย
2, กรุงเทพ, บริเวณสมาคมแต้จิ๋วแห่งประเทศไทย
2, กรุงเทพ, รอยัล พารากอน ฮอลล์ ชั้น 5 ศูนย์การค้าสยามพารากอน
2, กรุงเทพ, บริเวณสำนักงานเขตราชเทวี
3, กรุงเทพ, โรงจอดรถ ชั้น 1 สำนักงานเขตบางคอแหลม
3, กรุงเทพ, เต็นท์ลานจอดรถโลตัสพระราม3(ฝั่งถนนนราธิวาสราชนครินทร์)
4, กรุงเทพ, บริเวณสำนักงานเขตคลองเตย
4, กรุงเทพ, ลานจอดรถวัดธาตุทอง พระอารามหลวง
5, กรุงเทพ, อาคารและเต้นท์บริเวณสำนักงานเขตห้วยขวาง
5, กรุงเทพ, โรงเรียนบดินทรเดชา (สิงห์ สิงหเสนี)
6, กรุงเทพ, อาคารกีฬาเวสน์ 1 และ อาคารกีฬาเวสน์ 2 ศูนย์เยาวชนกรุงเทพมหานคร (ไทย-ญี่ปุ่น) ดินแดง
6, กรุงเทพ, อาคารลานอเนกประสงค์ กรมประชาสัมพันธ์
7, กรุงเทพ, บริเวณสำนักงานเขตบางซื่อ
7, กรุงเทพ, บริเวณภายในวชิราวุธวิทยาลัย
8, กรุงเทพ, บริเวณสำนักงานเขตหลักสี่
8, กรุงเทพ, มหาวิทยาลัยราชภัฏจันทรเกษม
